Species.scientific.name,Species.common.name,SeaWEED.ID,Source,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Yield_per_HA,Grow_out_period_days,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes,Production.volume.2018,USD.per.tonne,Taxonomy,Diet,ISSCAAP_Group,EcologyRefNo,HabitatsRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,FoodTroph,FoodSeTroph,Species..Family.,ASFIS,Species..Main.grouping.,Species..Order.,Environment..Environment.,HighLevelISSCAAP
Oreochromis niloticus,Tilapia,211,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,4.0,,Intensive,,,,1.66,Compound,26.0,44.5,12.5,17,Hand fed or feeding machine,,75.72115385,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,211,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,4.0,,Intensive,,,,1.66,Compound,26.0,44.5,12.5,17,Hand fed or feeding machine,,75.72115385,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,211,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,4.0,,Intensive,,,,1.66,Compound,26.0,44.5,12.5,17,Hand fed or feeding machine,,75.72115385,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,211,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,4.0,,Intensive,,,,1.66,Compound,26.0,44.5,12.5,17,Hand fed or feeding machine,,75.72115385,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,192,Henriksson et al. 2017,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014.0,69.0,,Intensive,7.73993808,270,,1.55,Compound,34.1,58.2,6.8,0.9,Hand fed,265±277,127±133,0,0.0,,,Patrik,43924,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,207,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,"Maoming, GD",2010.0,82.0,,Semi-intensive,,,,1.45,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,982.0,3.125,1.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,204,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010.0,29.0,,Semi-intensive,,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528.0,1.081730769,0.1,,,,Patrik,43927,,,,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Tilapia,212,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,1.6,Compound,26.0,44.5,12.5,17,Hand fed,56.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Tilapia,212,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,1.6,Compound,26.0,44.5,12.5,17,Hand fed,56.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,3,87,2,,2,0,2.01999998092651,0,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,58,Pelletier-2010-a,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007.0,"1 company, 45,000 tonnes",,,,,,1.7,Compound,51.0,41,5,0,,0.0,10.0,1,,,,Rob,43902,,"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Indonesia,,2014.0,,,,,,,1.9,Assumed compound,,10.3,89.7,7.7,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Indonesia,,2014.0,,,,,,,1.9,Assumed compound,,10.3,89.7,7.7,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Indonesia,,2014.0,,,,,,,1.9,Assumed compound,,10.3,89.7,7.7,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Indonesia,,2014.0,,,,,,,1.9,Assumed compound,,10.3,89.7,7.7,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,59157,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,32849,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Brackishwater,freshwater
Oreochromis niloticus,Nile tilapia,,SFW (company data),,,Net pen,,,Mexico,,2014.0,,,,,,,1.75,Assumed compound,,3.75,75,14,,,,,,,,Rob,43902,Assumed Nile tilapia (listed as Tilapia),"4525430,92",1818,Teleost,Omnivorous,12,2,,2,,,,,,CICHLIDAE,1705905102,PISCES,PERCOIDEI,Freshwater,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000007,PISCES,PISCES MISCELLANEA,Marine,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000010,PISCES,PISCES MISCELLANEA,Brackishwater,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000001,PISCES,PISCES MISCELLANEA,Freshwater,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000001,PISCES,PISCES MISCELLANEA,Brackishwater,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000010,PISCES,PISCES MISCELLANEA,Marine,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000010,PISCES,PISCES MISCELLANEA,Freshwater,freshwater
Osteichthyes,Freshwater fishes nei,67,Phong-2011-a,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,,,,,,,,,,,,,,,,Rob,43902,,"2545075,53",1678,Teleost,Omnivorous,13,,,,,,,,,"",1990000000009,PISCES,PISCES MISCELLANEA,Marine,freshwater
Pangasianodon hypophthalmus,Striped catfish,,SFW (from literature),,,Ponds,,,USA,,2012.0,,,,,,,2.2,Assumed compound,,2,92.5,5,,,,,,,,Rob,43902,"Assumed Striped catfish (listed as catfish); SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M","2359521,47",1244,Teleost,Omnivorous,13,33813,33813,,,,,3.12,0.46,PANGASIIDAE,1413000301,PISCES,SILURIFORMES,Freshwater,freshwater
Pangasius hypophthalmus,Pangasius,209,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Medium farms,Vietnam,An Giang and Can Tho,2010.0,64.0,,Intensive,,,,1.896,Compound,36.4,53,7.2,3.4,Hand fed,177.0,9.254807692,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,,,,,,,,,,,,,,freshwater
Pangasius hypophthalmus,Pangasius,208,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Small farms,Vietnam,An Giang and Can Tho,2010.0,110.0,,Intensive,,,,1.899,Compound,36.4,53,7.2,3.4,Hand fed,102.0,9.975961538,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,,,,,,,,,,,,,,freshwater
Pangasius hypophthalmus,Pangasius,210,Henriksson et al. 2015,,1 tonne fillets,Earthen pond aquaculture,,Large farms,Vietnam,An Giang and Can Tho,2010.0,38.0,,Intensive,,,,1.59,Compound,36.4,53,7.2,3.4,Hand fed,56.8,1.478365385,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,,,,,,,,,,,,,,freshwater
Pangasius hypophthalmus,Pangasius,217,Henriksson et al. 2019,,1 tonne live wet-weight,Net-pens,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,6.0,,Intensive,,,,1.5,Compound,27.0,59.5,7.5,6,Hand fed,90.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,,,,,,,,,,,,,,freshwater
Pangasius hypophthalmus,Pangasius,216,Henriksson et al. 2019,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,3.0,,Intensive,,,,1.4,Compound,27.0,59.5,7.5,6,Hand fed,8.7,,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,,,,,,,,,,,,,,freshwater
Pangasius spp,Pangas catfishes nei,164,Kluts-2012-a,,1 tonne fresh,"Integrated pond, medium inputs",Commercial,"Catfish harvested from medium-input, rice-based integrated pond systems",Vietnam,Mekong Delta,,11 farms,,,,,,0.1,Compound,35.0,57,7,0,,79.0,,,,,,Rob,43902,,449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Freshwater,freshwater
Pangasius spp,Pangas catfishes nei,164,Kluts-2012-a,,1 tonne fresh,"Integrated pond, medium inputs",Commercial,"Catfish harvested from medium-input, rice-based integrated pond systems",Vietnam,Mekong Delta,,11 farms,,,,,,0.1,Compound,35.0,57,7,0,,79.0,,,,,,Rob,43902,,449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Brackishwater,freshwater
Pangasius spp,Pangas catfishes nei,,SFW (from expert),,,Ponds / pens,,,Vietnam,,2013.0,,,,,,,1.6,Assumed compound,,5,92,0,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Freshwater,freshwater
Pangasius spp,Pangas catfishes nei,,SFW (from expert),,,Ponds / pens,,,Vietnam,,2013.0,,,,,,,1.6,Assumed compound,,5,92,0,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Brackishwater,freshwater
Pangasius spp,Pangas catfishes nei,63,Bosma-2009-a,,1 tonne live weight,Intensive pond,Commercial,Production of catfish in intensive ponds.,Vietnam,Mekong Delta,2009.0,"28 farms, 300 tonnes/ha",,,,,,1.9,Compound,21.0,64,15,0,,41.0,5.0,,,,,Rob,43902,,449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Freshwater,freshwater
Pangasius spp,Pangas catfishes nei,63,Bosma-2009-a,,1 tonne live weight,Intensive pond,Commercial,Production of catfish in intensive ponds.,Vietnam,Mekong Delta,2009.0,"28 farms, 300 tonnes/ha",,,,,,1.9,Compound,21.0,64,15,0,,41.0,5.0,,,,,Rob,43902,,449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Brackishwater,freshwater
Pangasius spp,Pangas catfishes nei,161,Huysfeld-2013-a,,1 tonne live weight,Earthen pond aquaculture,Commercial,Catfish harvested in earthen ponds to be exported to Europe and North America,Vietnam,Mekong Delta,2009-2010,4 farms,,,,,,1.5,Compound,25.0,64,9,2,,,,,,,,Rob,43902,,449113.0,1540,Teleost,Omnivorous,13,,,,,,,,,PANGASIIDAE,1413000200,PISCES,SILURIFORMES,Freshwater,freshwater
